
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-programs.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-hr-jobs-openings.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-research.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-bootstrap.min.66c792270d4819966a48123c68fb3235.css.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students-associations.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-web-a-z.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-bootstrap.min.ece938124d849e52d37c5a5ba55db7d0.js.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-indigenous-resources-territorial-acknowledgement.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-news-capstone-magazine.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-accreditations.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-contact.html
[09:22:40] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-campus-life-security.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students-future-students-quebec-perspective-scholarship.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-news-stories.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-cuevents-offices-vprgs-sgs-2023-01-09-phd-oral-exam-zhewen-xing-mechanical-engineeringc=-ginacody.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-about-awards.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-events.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-students-registration.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-programs-graduate.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-aits.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-jquery-ui.min.305af7015965bc514ab1b29d2951eae3.js.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-accordion.min.87371d60791c736fe42a03aa026e20cb.css.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-ginacody-students.html
[09:22:41] [bs4] [WORKER #0] [SCRAPE] [INFO]: Extracted text from: ./saved/https--www.concordia.ca-ginacody-etc-designs-concordia-clientlibs-img-icons-social-media-facebook-multi-color.png.html
[09:22:41] [spidy] [WORKER #0] [SAVE] [INFO]: Saved clusters to clusters/k-3.txt
[09:22:41] [spidy] [WORKER #0] [SAVE] [INFO]: Saved clusters to clusters/k-6.txt
